CNPJ;Instituicao;Tipo
13140088;ACESSO SOLUÇÕES DE PAGAMENTO S.A.;Banco/financeira
36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
19540550;ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.;Banco/financeira
3532415;BANCO ABN AMRO S.A.;Banco/financeira
54403563;BANCO ARBI S.A.;Banco/financeira
15173776;BANCO CAPITAL S.A.;Banco/financeira
2658435;BANCO CATERPILLAR S.A.;Banco/financeira
33132044;BANCO CEDULA S.A.;Banco/financeira
2992446;BANCO CNH INDUSTRIAL CAPITAL S.A.;Banco/financeira
8357240;BANCO CSF S.A.;Banco/financeira
4902979;BANCO DA AMAZONIA S.A.;Banco/financeira
10690848;BANCO DA CHINA BRASIL S.A.;Banco/financeira
33042151;BANCO DE LA NACION ARGENTINA;Banco/financeira
5040481;BANCO DE LAGE LANDEN BRASIL S.A.;Banco/financeira
92874270;BANCO DIGIMAIS S.A.;Banco/financeira
27098060;BANCO DIGIO S.A.;Banco/financeira
13009717;BANCO DO ESTADO DE SERGIPE S.A.;Banco/financeira
4913711;BANCO DO ESTADO DO PARÁ S.A.;Banco/financeira
7237373;BANCO DO NORDESTE DO BRASIL S.A.;Banco/financeira
58616418;BANCO FIBRA S.A.;Banco/financeira
61348538;BANCO FICSA S.A.;Banco/financeira
62237425;BANCO FIDIS S/A;Banco/financeira
90731688;BANCO FORD S.A.;Banco/financeira
31880826;BANCO GUANABARA S.A.;Banco/financeira
53518684;BANCO HSBC S.A.;Banco/financeira
4866275;BANCO INBURSA S.A.;Banco/financeira
91884981;BANCO JOHN DEERE S.A.;Banco/financeira
23903068;BANCO KOMATSU DO BRASIL S.A.;Banco/financeira
59118133;BANCO LUSO BRASILEIRO S.A.;Banco/financeira
7441209;BANCO MONEO S.A.;Banco/financeira
78632767;BANCO OURINVEST S.A.;Banco/financeira
61820817;BANCO PAULISTA S.A.;Banco/financeira
1023570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;Banco/financeira
517645;BANCO RIBEIRAO PRETO S.A.;Banco/financeira
795423;BANCO SEMEAR S.A.;Banco/financeira
11970623;BANCO SENFF S.A.;Banco/financeira
60518222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;Banco/financeira
7679404;BANCO TOPÁZIO S.A.;Banco/financeira
3215790;BANCO TOYOTA DO BRASIL S.A.;Banco/financeira
17351180;BANCO TRIANGULO S.A.;Banco/financeira
57839805;BANCO TRICURY S.A.;Banco/financeira
9526594;BANCO VIPAL S.A.;Banco/financeira
10264663;BANCOSEGURO S.A.;Banco/financeira
45283173;BBVA BRASIL BANCO DE INVESTIMENTO S.A.;Banco/financeira
20443996;BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
11285104;BIORC FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;Banco/financeira
13370835;BPP INSTITUIÇÃO DE PAGAMENTO S.A.;Banco/financeira
12865507;BRK S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
37122487;CALCRED S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
9313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
13935893;CELCOIN INSTITUICAO DE PAGAMENTO S.A.;Banco/financeira
1027058;CIELO S.A.;Banco/financeira
62895230;CREDI-SHOP S/A - INSTITUIÇÃO DE PAGAMENTO;Banco/financeira
5676026;CREDIARE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
62331228;DEUTSCHE BANK S.A. - BANCO ALEMAO;Banco/financeira
21018182;EBANX INSTITUICAO DE PAGAMENTOS LTDA.;Banco/financeira
39321657;FACEBOOK INSTITUIÇÃO DE PAGAMENTO DO BRASIL LTDA.;Banco/financeira
15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;Banco/financeira
36583700;FC FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
13203354;FITBANK PAGAMENTOS ELETRONICOS S.A.;Banco/financeira
2732968;FORTBRASIL ADMINISTRADORA DE CARTOES DE CREDITO S/A;Banco/financeira
6339468;GRAZZIOTIN FINANCIADORA S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;Banco/financeira
13884775;HUB PAGAMENTOS S.A;Banco/financeira
17453575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.;Banco/financeira
15111975;IUGU INSTITUIÇÃO DE PAGAMENTO S.A.;Banco/financeira
4230630;JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
6040559;KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
11271860;LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
7747410;M PAGAMENTOS S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;Banco/financeira
9464032;MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
4379829;NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;Banco/financeira
20855875;NEON PAGAMENTOS S.A.;Banco/financeira
74828799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO;Banco/financeira
3311443;PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.;Banco/financeira
10878448;PAYPAL DO BRASIL SERVICOS DE PAGAMENTOS LTDA;Banco/financeira
43180355;PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
1800019;PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
27351731;REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;Banco/financeira
65697260;REPOM S.A.;Banco/financeira
5503849;SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
122327;SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;Banco/financeira
29030467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;Banco/financeira
3881423;SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
41498340;TENTOS S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
9473806;TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
1722480;VERDE - ADMINISTRADORA DE CARTOES DE CREDITO S.A.;Banco/financeira
5192316;VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;Banco/financeira
23862762;WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Banco/financeira
