CODIGO_TEMPO;CNPJ;INDICE;QTD_RECLAMACOES_PROCEDENTES;QTD_RECLAMACOES_OUTRAS;QTD_RECLAMACOES_NAO_REGULADAS;QTD_RECLAMACOES;QTD_CLIENTES;QTD_CLIENTES_CCS;QTD_CLIENTES_SCR
20201;7679404; ;3;1;3;7;21862;16221;8903
20201;45283173; ;0;0;2;2;0; ;0
20201;9313766; ;2;2;1;5;64401;55868;18531
20201;62331228; ;0;1;0;1;3182;3166;167
20201;15581638;1.416,17;132;616;10;758;93209;621;92592
20201;411939; ;0;0;6;6;100768;1869;98981
20201;4230630; ;2;4;2;8;127758; ;127758
20201;6040559; ;0;1;0;1;260710;4;260706
20201;11271860; ;1;0;0;1;219567;3;219564
20201;10264663; ;0;3;0;3;192087;190124;1963
20201;9464032;5,45;63;108;81;252;11541042;45;11541025
20201;74828799;532,98;39;28;3;70;73173;3091;70510
20201;43180355;14,43;39;34;25;98;2702654; ;2702654
20201;1800019;75,25;19;60;32;111;252491;3783;248712
20201;27351731;1,7;9;38;34;81;5275046;17;5275031
20201;5503849; ;3;1;1;5;29726;1220;28507
20201;122327; ;3;3;2;8;14676;765;13911
20201;7747410; ;6;4;0;10;797529; ;797529
20201;29030467; ;0;0;1;1;254;247;9
20201;4379829; ;1;2;0;3;582196;665;581531
20201;9526594; ;0;0;1;1;436;4;432
20201;17351180; ;4;11;4;19;1992724;218021;1812373
20201;3215790; ;5;5;8;18;182525;15287;168415
20201;36321990; ;2;0;0;2;370789;134;370655
20201;27214112; ;0;0;2;2;7735;19;7724
20201;23862762; ;11;6;2;19;1163474;1163474; 
20201;92874270;163,43;39;17;27;83;238631;118222;155136
20201;3532415; ;0;0;1;1;227;194;42
20201;54403563; ;1;0;0;1;11281;2852;8499
20201;2658435; ;1;0;0;1;2872; ;2872
20201;2992446; ;0;0;1;1;26616;1233;25709
20201;8357240;12,43;92;103;107;302;7400252; ;7400252
20201;4902979; ;2;3;4;9;509203;448523;153961
20201;27098060;38,28;49;75;79;203;1279978;4988;1279762
20201;13009717;14,64;16;22;18;56;1092642;881025;592611
20201;4913711;21,82;16;15;20;51;733076;704863;281553
20201;7237373;2,25;18;9;32;59;7989745;7402656;2950060
20201;58616418; ;1;0;0;1;165324;3889;161868
20201;4866275; ;1;1;4;6;11309;9;11301
20201;59118133; ;1;0;0;1;10401;4834;5948
20201;7441209; ;0;0;1;1;1240;6;1237
20201;795423; ;0;1;1;2;260283;2973;257423
20201;11970623; ;0;2;0;2;78008;76;77937
20201;5192316; ;1;0;0;1;441930;993;440939
20201;3881423; ;0;0;8;8;5969;3124;2845
20202;7747410; ;5;4;7;16;809031; ;809031
20202;91884981; ;0;1;0;1;14489;254;14302
20202;4866275; ;1;0;2;3;11904;7;11897
20202;90731688; ;1;1;2;4;402;186;229
20202;61348538; ;4;0;0;4;38706;611;38097
20202;58616418; ;0;1;1;2;163909;4067;160338
20202;7237373;0,86;7;23;44;74;8061030;7476513;2934554
20202;4913711;19,41;15;19;25;59;772617;719581;309266
20202;13009717; ;7;14;43;64;879777;879777; 
20202;27098060;19,03;26;66;59;151;1366248;166570;1357998
20202;92874270;340,24;83;17;54;154;243941;123760;157649
20202;5040481; ;0;0;2;2;35889;2;35887
20202;33042151; ;1;0;0;1;226;212;25
20202;4902979; ;2;5;12;19;508852;448971;152171
20202;8357240;16,59;122;143;122;387;7350474; ;7350474
20202;2992446; ;1;0;5;6;26121;1239;25195
20202;54403563; ;1;1;0;2;12624;3496;9192
20202;23862762; ;11;3;11;25;1221120;1221120; 
20202;27214112; ;1;1;3;5;8250;29;8231
20202;36321990; ;0;3;0;3;373794;134;373661
20202;5503849; ;7;1;4;12;29536;1243;28294
20202;59118133; ;0;0;1;1;10297;4757;5916
20202;7441209; ;1;0;0;1;1234;4;1232
20202;78632767; ;0;0;1;1;38281;35380;2929
20202;43180355;19,25;64;64;40;168;3322987;1441913;2556685
20202;3311443; ;0;1;0;1;1009; ;1009
20202;74828799;225,43;18;59;5;82;79846;3103;77170
20202;4379829; ;1;1;0;2;580365;670;579695
20202;9464032;3,13;35;135;107;277;11177083;77;11177064
20202;11271860; ;0;1;0;1;205116;4;205112
20202;6040559; ;0;1;0;1;265138;4;265135
20202;4230630; ;0;3;5;8;125684; ;125684
20202;411939; ;0;0;6;6;97339;1771;95637
20202;1800019; ;14;17;30;61;251875;3783;248096
20202;15581638;559,96;54;238;10;302;96434;623;95815
20202;11285104; ;0;0;3;3;10899;10;10889
20202;20443996; ;0;1;0;1;44089;6;44083
20202;45283173; ;0;0;2;2;0;0;0
20202;57839805; ;0;1;0;1;676;658;155
20202;17351180; ;7;15;10;32;1968256;219922;1784889
20202;3215790; ;8;5;43;56;175692;15287;161520
20202;7679404; ;0;0;2;2;21801;16650;8096
20202;795423; ;0;3;4;7;255199;2832;252479
20202;517645; ;1;0;1;2;4865;4592;2892
20202;9313766; ;2;3;2;7;63739;56525;12876
20202;11970623; ;0;2;4;6;84;84; 
20202;27351731;3,55;17;39;34;90;4784859;17;4784844
20202;5192316; ;4;1;1;6;414053;993;413062
20202;3881423; ;4;2;6;12;5517;2824;2694
20203;17351180; ;9;20;20;49;1986156;230353;1800317
20203;4902979; ;6;4;8;18;536163;449958;196881
20203;33042151; ;0;0;1;1;224;210;25
20203;5040481; ;2;0;0;2;35565;2;35563
20203;92874270;269,02;67;20;32;119;249049;129092;158567
20203;27098060;62,83;85;124;95;304;1352697;263791;1338101
20203;13009717; ;19;21;23;63;1093478;878043;593504
20203;4913711; ;11;17;27;55;820900;734365;347559
20203;7237373;1,58;13;16;45;74;8195746;7615138;2967535
20203;58616418; ;0;1;4;5;163904;4150;160288
20203;90731688; ;0;0;2;2;408;194;226
20203;8357240;17,06;130;104;90;324;7618737; ;7618737
20203;59118133; ;0;0;1;1;10245;4703;5903
20203;7441209; ;0;1;0;1;1258;4;1256
20203;78632767; ;0;0;2;2;39217;36646;2591
20203;61820817; ;0;1;0;1;24424;9146;15539
20203;517645; ;1;0;0;1;4711;4463;2691
20203;795423; ;0;3;3;6;274701;2843;271968
20203;7679404; ;0;3;3;6;29098;17079;14612
20203;3215790; ;2;5;5;12;170340;15291;156109
20203;45283173; ;0;0;1;1; ;0;0
20203;4866275; ;0;2;6;8;11855;10;11846
20203;2992446; ;1;0;1;2;26883;1240;25942
20203;3532415; ;0;0;1;1;140;104;43
20203;11970623; ;4;3;9;16;70051;81;69974
20203;7747410; ;7;5;8;20;731992; ;731992
20203;122327; ;2;3;0;5;14244;718;13526
20203;5503849; ;1;2;4;7;29252;1252;28001
20203;27351731;1,11;5;41;30;76;4472840;17;4472825
20203;1800019; ;16;25;28;69;241363;3783;237584
20203;43180355;15,13;82;60;38;180;5418481;4926211;2669017
20203;74828799; ;19;59;1;79;82824;3135;80112
20203;4379829; ;0;1;1;2;585497;672;584826
20203;54403563; ;2;0;0;2;13286;4188;9168
20203;9464032;2,02;22;154;101;277;10873867;110;10873832
20203;6040559; ;0;0;1;1;280481;4;280479
20203;4230630; ;3;2;4;9;124278; ;124278
20203;6339468; ;0;0;1;1;110696;1;110695
20203;411939; ;0;1;5;6;92257;1739;90584
20203;15581638;893,56;91;275;6;372;101839;646;101197
20203;62331228; ;0;0;1;1;2429;2410;170
20203;36321990; ;4;1;0;5;382287;132;382156
20203;27214112; ;1;0;2;3;10041;3099;8686
20203;23862762; ;27;6;8;41;1272781;1271301;260038
20203;11271860; ;0;3;1;4;192212;4;192208
20203;3881423; ;3;3;6;12;4742;2380;2363
20203;3311443; ;2;3;1;6;1030; ;1030
20203;5192316; ;0;2;0;2;409428;994;408436
20203;9473806; ;0;0;1;1;36019;4;36015
20203;5676026; ;0;1;0;1;277460; ;277460
20203;9313766; ;1;5;2;8;64804;57693;12637
20204;27214112; ;3;4;3;10;11782;3941;9954
20204;9313766; ;1;3;5;9;68467;61484;12284
20204;5676026; ;0;7;0;7;301319; ;301319
20204;15581638;1.833,37;201;621;22;844;109634;653;108984
20204;411939; ;0;1;2;3;88736;1724;87076
20204;4230630; ;2;5;4;11;124058; ;124058
20204;6040559; ;0;2;0;2;297934;4;297932
20204;11271860; ;1;2;1;4;215531;4;215527
20204;9464032;3,15;34;102;75;211;10768835;107;10768802
20204;4379829; ;0;4;1;5;594891;672;594220
20204;74828799; ;23;50;1;74;85994;3045;83370
20204;43180355;11,86;70;63;38;171;5897857;5442259;2796679
20204;1800019;192,75;45;52;29;126;233452;3783;229673
20204;27351731; ;19;46;29;94;4891419;17;4891404
20204;5503849; ;1;6;2;9;29144;1260;27885
20204;122327; ;0;4;0;4;14232;678;13554
20204;7747410; ;4;3;5;12;769433; ;769433
20204;3881423; ;1;2;5;8;3677;2123;1554
20204;9473806; ;0;2;0;2;37953;4;37949
20204;3311443; ;6;6;0;12;3843; ;3843
20204;17351180; ;9;12;10;31;1908267;260287;1716343
20204;3215790; ;0;1;0;1;168403;15279;154111
20204;7679404; ;0;5;3;8;43545;19468;26435
20204;3532415; ;0;1;0;1;156;121;39
20204;54403563; ;0;3;0;3;14968;5688;9349
20204;2992446; ;0;0;1;1;27778;1239;26829
20204;5192316; ;1;2;1;4;408700;1006;407697
20204;8357240;15,86;119;57;53;229;7498821; ;7498821
20204;4902979; ;4;5;11;20;539668;456187;195851
20204;5040481; ;0;0;1;1;36118;3;36116
20204;92874270;237,78;64;20;44;128;269148;146692;168323
20204;27098060;27,32;40;79;77;196;1463953;433989;1431293
20204;13009717; ;22;15;11;48;1078832;850466;596990
20204;4913711; ;19;24;11;54;846240;759834;347199
20204;7237373;1,07;9;17;14;40;8360626;7778242;3070108
20204;58616418; ;0;1;1;2;163880;4200;160227
20204;4866275; ;0;1;0;1;12299;11;12290
20204;91884981; ;0;1;0;1;14944;254;14755
20204;59118133; ;0;1;0;1;10292;4735;5928
20204;78632767; ;0;1;2;3;40862;38471;2419
20204;517645; ;1;0;0;1;4495;4286;2466
20204;795423; ;1;2;3;6;291493;2840;288798
20204;36321990; ;2;0;2;4;403883;130;403753
20204;11970623; ;1;1;4;6;74085;81;74007
20204;23862762; ;8;4;1;13;1419721;1418079;234488
20211;8357240;22,53;165;94;51;310;7322283; ;7322283
20211;5192316; ;0;2;2;4;412934;1008;411929
20211;23862762; ;16;15;17;48;1548186;1546806;314656
20211;59118133; ;0;1;0;1;10071;4711;5719
20211;91884981; ;0;1;0;1;15036;254;14848
20211;4866275; ;1;5;1;7;12367;12;12357
20211;62237425; ;0;2;0;2;6907;185;6739
20211;58616418; ;1;2;2;5;163619;3832;160325
20211;7237373; ;19;8;20;47;8512373;7928582;3161435
20211;4913711;46,20;39;10;12;61;844056;758236;347013
20211;13009717; ;11;25;9;45;1066464;834281;599884
20211;27098060;25,71;40;100;64;204;1555646;594244;1515429
20211;92874270;484,31;143;36;54;233;295260;168966;177621
20211;5040481; ;0;1;0;1;36713;3;36711
20211;10690848; ;0;1;0;1;469;452;32
20211;4902979; ;4;1;7;12;540684;459756;194221
20211;2992446; ;0;1;2;3;28352;1238;27399
20211;54403563; ;1;0;0;1;18087;9312;8838
20211;3532415; ;0;0;3;3;98;71;31
20211;27214112; ;1;1;0;2;12645;4979;10112
20211;3881423; ;0;1;5;6;3398;1813;1585
20211;78632767; ;0;1;0;1;42561;40252;2342
20211;61820817; ;0;0;1;1;26002;7898;18366
20211;795423; ;4;0;1;5;290731;2996;287950
20211;7747410; ;2;4;2;8;853173; ;853173
20211;122327; ;1;2;0;3;14370;634;13736
20211;5503849; ;1;1;0;2;29195;1250;27947
20211;27351731; ;6;31;22;59;4979229;45;4979205
20211;1800019; ;29;43;15;87;228987;3382;225607
20211;43180355;12,90;81;36;16;133;6279057;5846351;2878477
20211;3311443; ;6;3;0;9;3843;0;3843
20211;74828799; ;11;22;0;33;91784;3074;89140
20211;9464032;2,77;30;91;50;171;10797493;208;10797426
20211;36321990; ;3;3;0;6;420692;129;420563
20211;11271860; ;1;0;0;1;4;4; 
20211;411939; ;0;2;3;5;87041;1715;85381
20211;15581638;620,55;70;151;3;224;112802;664;112141
20211;62331228; ;0;1;0;1;2112;2093;164
20211;9313766; ;1;2;1;4;71736;65584;11640
20211;57839805; ;0;1;1;2;685;666;149
20211;17351180; ;3;8;16;27;1953437;248674;1790932
20211;3215790; ;0;0;1;1;164435;15283;150113
20211;7679404; ;1;4;1;6;35261;16292;21125
20211;11970623; ;8;12;2;22;77251;106;77156
20211;4230630; ;2;2;3;7;49879; ;49879
20212;23862762;26,70;46;9;16;71;1722341;1721730;406890
20212;36321990; ;2;4;1;7;433738;130;433608
20212;3881423; ;1;5;9;15;1992;467;1525
20212;78632767; ;0;2;0;2;44303;41822;2504
20212;59118133; ;1;0;0;1;9668;4682;5351
20212;91884981; ;1;1;0;2;14199;254;14008
20212;4866275; ;3;1;3;7;12478;11;12467
